,donor,cc_normed,score
30007528696_SEACell-6,30007528696_SEACell,0.7648555615712642,0.09229580476997061
30007528696_SEACell-9,30007528696_SEACell,0.9305593882613253,0.09544880507117877
30007528696_SEACell-1,30007528696_SEACell,0.8924926688693847,0.07843065723254271
30007528696_SEACell-13,30007528696_SEACell,0.7239218198321173,0.09151064885220427
30007528696_SEACell-8,30007528696_SEACell,0.688291008589645,0.07373591128037536
30007528696_SEACell-4,30007528696_SEACell,0.7744777890669269,0.09733692809298289
30007528696_SEACell-11,30007528696_SEACell,0.8202123281177963,0.07903393391126316
30007528696_SEACell-2,30007528696_SEACell,0.904228514483914,0.08340065669304635
30007528696_SEACell-14,30007528696_SEACell,0.34234571159863275,0.06594641096989022
30007540513_SEACell-15,30007540513_SEACell,0.9064941133733199,0.09802740441458793
30007540513_SEACell-8,30007540513_SEACell,0.9527013679925479,0.09815378089057429
30007540513_SEACell-13,30007540513_SEACell,0.8562325728003757,0.10093497879378124
30007540513_SEACell-11,30007540513_SEACell,0.7265945543953453,0.08877076583346384
30007540513_SEACell-2,30007540513_SEACell,0.7911785635344754,0.09179515385395642
30007540513_SEACell-3,30007540513_SEACell,0.9253386760941598,0.08197869341473023
30007540513_SEACell-5,30007540513_SEACell,0.6454237698907782,0.08412311813911942
30007540513_SEACell-4,30007540513_SEACell,0.6737788528483228,0.08126062896929771
30007540513_SEACell-14,30007540513_SEACell,0.6837760924721267,0.09622998333745983
30007540513_SEACell-9,30007540513_SEACell,1.0254891316729613,0.10963522523831887
30007540513_SEACell-1,30007540513_SEACell,0.7618467776410139,0.09774724569992532
30007540513_SEACell-6,30007540513_SEACell,0.7901125753365746,0.10552457558875382
30007540513_SEACell-12,30007540513_SEACell,0.99714737772425,0.0811226969435117
30007540513_SEACell-10,30007540513_SEACell,0.829240143260135,0.07330632372200956
30007540513_SEACell-7,30007540513_SEACell,0.8496778488081778,0.10613236569364969
30007540513_SEACell-0,30007540513_SEACell,0.6589278858621312,0.08997314529794305
30007535656_SEACell-11,30007535656_SEACell,0.8921612509403964,0.08542391909313092
30007535656_SEACell-21,30007535656_SEACell,1.0304130886128728,0.08685346340042477
30007535656_SEACell-7,30007535656_SEACell,0.8226992399335425,0.1031546228153848
30007535656_SEACell-2,30007535656_SEACell,0.6895607533889996,0.09703271834498162
30007535656_SEACell-18,30007535656_SEACell,0.7195680282884872,0.08153159070561522
30007535656_SEACell-3,30007535656_SEACell,0.8196510551326733,0.08129342257159176
30007535656_SEACell-15,30007535656_SEACell,0.896380602853716,0.08518513076831742
30007535656_SEACell-19,30007535656_SEACell,0.9215529713456425,0.1008033148510898
30007535656_SEACell-16,30007535656_SEACell,0.6264966109236624,0.08151832420040048
30007535656_SEACell-12,30007535656_SEACell,1.0353646426385987,0.09807455913615978
30007535656_SEACell-0,30007535656_SEACell,0.8838459777939424,0.07492522080057169
30007535656_SEACell-17,30007535656_SEACell,0.8612541796070492,0.06279749709474444
30007535656_SEACell-10,30007535656_SEACell,0.887776403080483,0.0657088096296801
30007535656_SEACell-9,30007535656_SEACell,0.9202725145660826,0.08159499323431714
30007535656_SEACell-14,30007535656_SEACell,1.0131265885444696,0.07178560037931371
30007535656_SEACell-5,30007535656_SEACell,1.1705174908018376,0.0882333142418244
30007535656_SEACell-1,30007535656_SEACell,0.758571121564789,0.09686185322668393
30007535656_SEACell-13,30007535656_SEACell,1.014218767476704,0.08503260938831492
30007535656_SEACell-4,30007535656_SEACell,0.6715588637872175,0.07681305142481215
30007535656_SEACell-20,30007535656_SEACell,0.8635157539991251,0.0695922363274861
30007535656_SEACell-8,30007535656_SEACell,0.9449664503516526,0.07988214790490389
30007535656_SEACell-6,30007535656_SEACell,0.7774263143878294,0.08579326063004587
30007535656_SEACell-22,30007535656_SEACell,0.7621269495949938,0.09051979169563062
30007535656_SEACell-23,30007535656_SEACell,0.8544039074172682,0.09506091430625727
30007560597_SEACell-7,30007560597_SEACell,0.8562559676745738,0.08979845142634042
30007560597_SEACell-11,30007560597_SEACell,0.8557468002652812,0.07993904451593659
30007560597_SEACell-2,30007560597_SEACell,1.0030638698160859,0.08370025042175784
30007560597_SEACell-9,30007560597_SEACell,0.7828775217219176,0.09565861041790702
30007560597_SEACell-5,30007560597_SEACell,0.8198298853668701,0.10453367121666624
30007560597_SEACell-4,30007560597_SEACell,0.5128728785853244,0.08817438253991505
30007560597_SEACell-8,30007560597_SEACell,0.9407626517123021,0.10049560998904446
30007560597_SEACell-3,30007560597_SEACell,0.8431740551192458,0.09893896929695882
30007560597_SEACell-1,30007560597_SEACell,0.7553996488543152,0.07922123675294963
30007560597_SEACell-6,30007560597_SEACell,0.8821263761195547,0.081879004917007
30007560597_SEACell-10,30007560597_SEACell,1.0462776728820626,0.1009368784674971
30007560597_SEACell-0,30007560597_SEACell,0.7448071233140316,0.057444130166667814
30007496087_SEACell-16,30007496087_SEACell,0.848080421202903,0.09813779097982044
30007496087_SEACell-3,30007496087_SEACell,0.8910098008759202,0.08535058177180108
30007496087_SEACell-12,30007496087_SEACell,0.8448940243065719,0.08953760106164499
30007496087_SEACell-2,30007496087_SEACell,0.5818364467286024,0.08699790720588735
30007496087_SEACell-1,30007496087_SEACell,0.7212949212671363,0.09653675130059255
30007496087_SEACell-15,30007496087_SEACell,0.7164903135031946,0.08142191700519573
30007496087_SEACell-9,30007496087_SEACell,0.865048679451378,0.09720424042339039
30007496087_SEACell-5,30007496087_SEACell,0.6984035577966105,0.061447265235264364
30007496087_SEACell-6,30007496087_SEACell,0.8909908087530433,0.09348477188185422
30007496087_SEACell-21,30007496087_SEACell,0.8311954718746554,0.08595253732657913
30007496087_SEACell-13,30007496087_SEACell,0.48978263143645534,0.07163118943635997
30007496087_SEACell-18,30007496087_SEACell,0.5568869588846653,0.09718185084584645
30007496087_SEACell-24,30007496087_SEACell,0.8727832638049464,0.09425850710793462
30007496087_SEACell-22,30007496087_SEACell,0.8014937096051695,0.08513198787050696
30007496087_SEACell-0,30007496087_SEACell,0.7743534471429059,0.08754657610790725
30007496087_SEACell-14,30007496087_SEACell,0.6881109725138215,0.10096246683221954
30007496087_SEACell-20,30007496087_SEACell,1.3005820456787895,0.08427396621153042
30007496087_SEACell-23,30007496087_SEACell,0.6910543458467219,0.09532848564602375
30007496087_SEACell-8,30007496087_SEACell,0.8144988501044189,0.11422432401823422
30007496087_SEACell-19,30007496087_SEACell,0.6583283547784091,0.09121945424590526
30007496087_SEACell-25,30007496087_SEACell,0.5529114841667954,0.09081316479635304
30007496087_SEACell-10,30007496087_SEACell,0.5953317702550169,0.10236465813488932
30007496087_SEACell-4,30007496087_SEACell,0.6965739866734262,0.08071388464254522
30007496087_SEACell-17,30007496087_SEACell,1.0129015968417634,0.07423047759252657
30007496087_SEACell-11,30007496087_SEACell,0.4156111802430354,0.06393751785116994
30007496087_SEACell-7,30007496087_SEACell,1.0250087692127987,0.06890701675694562
30007527668_SEACell-5,30007527668_SEACell,0.7465956405234866,0.07198375945089751
30007527668_SEACell-3,30007527668_SEACell,0.6296161090847515,0.07759604143469942
30007527668_SEACell-4,30007527668_SEACell,0.5601593260398071,0.07428792258076652
30007527668_SEACell-1,30007527668_SEACell,0.9159110040797841,0.07848757507138934
30007527668_SEACell-0,30007527668_SEACell,1.0026170941006074,0.08130305575036657
30007527668_SEACell-10,30007527668_SEACell,0.8280620321875546,0.08887296386130951
30007527668_SEACell-8,30007527668_SEACell,0.9002325087162935,0.08435347429385524
30007527668_SEACell-9,30007527668_SEACell,0.8533252022851742,0.07920228536249044
30007527668_SEACell-7,30007527668_SEACell,0.6059935952922364,0.06474324115668119
30007527668_SEACell-2,30007527668_SEACell,0.8085014137286707,0.0739448617643478
30007527668_SEACell-6,30007527668_SEACell,1.191881010744227,0.054792230894187985
30007537520_SEACell-6,30007537520_SEACell,0.8709431432530382,0.08747064132634526
30007537520_SEACell-3,30007537520_SEACell,0.8875321999393816,0.07064448274069153
30007537520_SEACell-0,30007537520_SEACell,1.0195367629686198,0.08687423103881184
30007537520_SEACell-9,30007537520_SEACell,0.7780649146660276,0.07663073449986875
30007537520_SEACell-1,30007537520_SEACell,0.8975044316401247,0.07616083995492048
30007537520_SEACell-10,30007537520_SEACell,0.8635000730642902,0.08417406519607612
30007537520_SEACell-2,30007537520_SEACell,0.8688766968340882,0.08468718944139458
